Sender,CreationDateTime,RefType RefNumber,RefNumber2,EventType,EventDateTime,SignedBy,Remarks,Damage,Pieces,Lat,Lon,LocCode,LocCountry
ZBOT_DHL.001,2024-09-20T01:27:59-06:00,CN,TCNU4215717,SZXC39304,APT,2024-07-24T16:38:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:28:06-06:00,CN,UETU5800522,SZXC39488,APT,2024-06-05T16:25:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:28:12-06:00,CN,FCIU9067010,SZXC52589,APT,2024-06-30T11:40:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:28:19-06:00,CN,TGCU5338197,SZXC58526,APT,2024-08-07T01:49:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:28:26-06:00,CN,SEKU6408647,MEXA41385,APT,2024-09-06T14:47:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:28:32-06:00,CN,FANU1825893,DZI363241,APT,2024-09-13T17:45:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:28:39-06:00,CN,TLLU5403535,DZI364218,APT,2024-09-13T18:06:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:28:46-06:00,CN,UACU8418587,QROA00041,APT,2024-08-29T14:42:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:28:52-06:00,CN,FANU3481884,MEXA41020,APT,2024-09-11T06:14:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:28:59-06:00,CN,HLBU3415812,MEXA41020,APT,2024-09-11T06:14:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:29:05-06:00,CN,HLBU9792304,MEXA41580,APT,2024-09-17T18:29:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:29:12-06:00,CN,TTNU8431980,MEXA41579,APT,2024-09-17T18:28:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:29:18-06:00,CN,UACU8272065,GDLA08044,APT,2024-09-19T08:06:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:29:25-06:00,CN,HLBU1057392,QROA00043,APT,2024-09-11T18:53:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:29:31-06:00,CN,FCIU7037758,GDLA08032,APT,2024-09-17T12:00:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:29:38-06:00,CN,BSIU9125109,QROA00042,APT,2024-09-07T10:37:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:29:45-06:00,CN,UACU8381580,BKKB90097,POD,2024-09-18T18:26:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:29:52-06:00,CN,CAIU8975524,CANA95610,POD,2024-06-19T19:30:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:29:58-06:00,CN,FDCU0038916,BFEA09885,POD,2024-08-08T13:18:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:30:05-06:00,CN,DFSU6614993,BFEA09886,POD,2024-08-08T13:18:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:30:12-06:00,CN,SLSU8059120,HKGC23257,POD,2024-08-30T00:40:00-06:00,ZBOT_DHL.001,,,1,,,,MX
